circle1	1
circle2	1
circle3	1
intersection1	0
raythru1	1
intersection3	0
raythru2	1
intersection4	0
raythru3	1
intersection5	0
raythru4	1
intersection6	0
raythru5	1
intersection7	0
intersection13	0
intersection14	0
intersection15	0
intersection16	0
intersection17	0
raythru6	1
intersection18	0
intersection22	0
intersection23	0
intersection24	0
intersection25	0
intersection26	0
intersection46	0
intersection47	0
intersection48	0
intersection49	0
intersection51	0
intersection55	0
intersection56	0
intersection58	0
intersection59	0
intersection61	0
