circle1	circle3
circle1	circle4
circle1	raythru1
circle1	raythru2
circle1	raythru3
circle1	raythru4
circle1	raythru5
circle1	raythru8
circle1	raythru9
circle1	raythru10
circle2	circle4
circle2	circle5
circle2	raythru1
circle2	raythru2
circle2	raythru3
circle2	raythru4
circle2	raythru5
circle2	raythru9
circle2	raythru6
circle2	raythru7
circle3	circle1
circle3	circle5
circle3	raythru1
circle3	raythru3
circle3	raythru4
circle3	raythru5
circle3	raythru8
circle3	raythru10
circle3	raythru6
circle3	raythru7
circle4	circle1
circle4	circle2
circle4	raythru2
circle4	raythru4
circle4	raythru5
circle4	raythru8
circle4	raythru9
circle4	raythru10
circle4	raythru6
circle4	raythru7
circle5	circle2
circle5	circle3
circle5	raythru1
circle5	raythru2
circle5	raythru3
circle5	raythru8
circle5	raythru9
circle5	raythru10
circle5	raythru6
circle5	raythru7
raythru1	circle1
raythru1	circle2
raythru1	circle3
raythru1	circle5
raythru1	raythru2
raythru1	raythru3
raythru1	raythru4
raythru1	raythru5
raythru1	raythru9
raythru2	circle1
raythru2	circle2
raythru2	circle4
raythru2	circle5
raythru2	raythru1
raythru2	raythru3
raythru2	raythru8
raythru2	raythru9
raythru2	raythru10
raythru3	circle1
raythru3	circle2
raythru3	circle3
raythru3	circle5
raythru3	raythru1
raythru3	raythru2
raythru3	raythru4
raythru3	raythru5
raythru3	raythru9
raythru4	circle1
raythru4	circle2
raythru4	circle3
raythru4	circle4
raythru4	raythru1
raythru4	raythru3
raythru4	raythru5
raythru4	raythru6
raythru4	raythru7
raythru5	circle1
raythru5	circle2
raythru5	circle3
raythru5	circle4
raythru5	raythru1
raythru5	raythru3
raythru5	raythru4
raythru5	raythru6
raythru5	raythru7
raythru8	circle1
raythru8	circle3
raythru8	circle4
raythru8	circle5
raythru8	raythru2
raythru8	raythru9
raythru8	raythru10
raythru8	raythru6
raythru8	raythru7
raythru9	circle1
raythru9	circle2
raythru9	circle4
raythru9	circle5
raythru9	raythru1
raythru9	raythru2
raythru9	raythru3
raythru9	raythru8
raythru9	raythru10
raythru10	circle1
raythru10	circle3
raythru10	circle4
raythru10	circle5
raythru10	raythru2
raythru10	raythru8
raythru10	raythru9
raythru10	raythru6
raythru10	raythru7
raythru6	circle2
raythru6	circle3
raythru6	circle4
raythru6	circle5
raythru6	raythru4
raythru6	raythru5
raythru6	raythru8
raythru6	raythru10
raythru6	raythru7
raythru7	circle2
raythru7	circle3
raythru7	circle4
raythru7	circle5
raythru7	raythru4
raythru7	raythru5
raythru7	raythru8
raythru7	raythru10
raythru7	raythru6
