A	raythru1
B	raythru1
A	raythru2
E	raythru2
A	raythru3
B	raythru3
B	raythru4
C	raythru4
B	raythru5
C	raythru5
C	raythru6
D	raythru6
C	raythru7
D	raythru7
D	raythru8
E	raythru8
A	raythru9
E	raythru9
D	raythru10
E	raythru10
B	circle1
E	circle1
A	circle2
C	circle2
B	circle3
D	circle3
C	circle4
E	circle4
A	circle5
D	circle5
B	perpbisect1
E	perpbisect2
C	perpbisect3
A	perpbisect4
D	perpbisect5
B	intersection1
E	intersection2
B	intersection3
E	intersection4
B	intersection5
E	intersection6
B	intersection7
B	intersection8
B	intersection9
E	intersection10
E	intersection11
E	intersection12
C	intersection13
A	intersection14
C	intersection15
A	intersection16
A	intersection17
A	intersection18
A	intersection19
C	intersection20
C	intersection21
C	intersection22
C	intersection23
A	intersection24
D	intersection25
B	intersection26
D	intersection27
B	intersection28
B	intersection29
B	intersection30
B	intersection31
D	intersection32
D	intersection33
D	intersection34
D	intersection35
E	intersection36
C	intersection37
E	intersection38
C	intersection39
C	intersection40
C	intersection41
C	intersection42
E	intersection43
E	intersection44
E	intersection45
A	intersection46
D	intersection47
A	intersection48
A	intersection49
A	intersection50
D	intersection51
D	intersection52
D	intersection53
A	intersection54
D	intersection55
B	intersection56
B	intersection57
B	intersection58
B	intersection59
E	intersection60
E	intersection61
E	intersection62
E	intersection63
C	intersection64
C	intersection65
C	intersection66
C	intersection67
A	intersection68
A	intersection69
A	intersection70
A	intersection71
D	intersection72
D	intersection73
D	intersection74
D	intersection75
A	intersection76
A	intersection77
B	intersection77
B	intersection78
B	intersection79
A	intersection80
A	intersection81
E	intersection82
A	intersection83
E	intersection83
E	intersection84
B	intersection85
B	intersection86
A	intersection87
B	intersection88
C	intersection88
C	intersection89
C	intersection90
C	intersection91
C	intersection92
C	intersection93
D	intersection93
D	intersection94
D	intersection95
D	intersection96
D	intersection97
E	intersection98
D	intersection99
E	intersection99
E	intersection100
